country,country_long,currency,capital_city,region,continent,demonym,latitude,longitude,agricultural_land,forest_area,land_area,rural_land,urban_land,central_government_debt_pct_gdp,expense_pct_gdp,gdp,inflation,self_employed_pct,tax_revenue_pct_gdp,unemployment_pct,vulnerable_employment_pct,electricity_access_pct,alternative_nuclear_energy_pct,electricty_production_coal_pct,electricty_production_hydroelectric_pct,electricty_production_gas_pct,electricty_production_nuclear_pct,electricty_production_oil_pct,electricty_production_renewable_pct,energy_imports_pct,fossil_energy_consumption_pct,renewable_energy_consumption_pct,co2_emissions,methane_emissions,nitrous_oxide_emissions,greenhouse_other_emissions,urban_population_under_5m,health_expenditure_pct_gdp,health_expenditure_capita,hospital_beds,hiv_incidence,suicide_rate,armed_forces,internally_displaced_persons,military_expenditure_pct_gdp,birth_rate,death_rate,fertility_rate,internet_pct,life_expectancy,net_migration,population_female,population_male,population,women_parliament_seats_pct,rural_population,urban_population,press,democracy_score,democracy_type,median_age,political_leader,title
Afghanistan,Islamic State of Afghanistan,Afghan afghani,Kabul,Southern Asia,Asia,Afghan,33.00,65.00,383560.0,12084.4,652230,636173.0,3993.8,,39.22,14583100000,2.302,84.334,9.90,11.71,82.69,97.70,,,,,,,,,,17.86,8709.47,16222.00,4863.39,-1800.00,0.00,16.83,81.32,0.39,0.04,4.10,278000,4394000,1.36,35.84,7.34,4.64,18.40,62,-183672,20362329,20766442,41128771,27.02,30181937,10946834,2.14,2.97,Authoritarian,12.90,Ashraf Ghani,President
Albania,Republic of Albania,Albanian lek,Tirana,Southern Europe,Europe,Albanian,41.00,20.00,11655.5,7889.0,27400,27331.6,827.7,82.38,24.54,18882100000,6.725,53.046,18.20,11.81,50.06,100.00,24.55,0.00,100.00,0.00,0.00,0.00,0.00,13.80,61.42,44.58,4383.20,2692.20,1015.19,11.68,6.37,6.66,350.84,2.89,0.03,4.30,8000,,1.42,10.24,11.33,1.39,79.32,76,-10612,1391085,1384548,2775634,35.71,1004807,1770827,2.62,5.98,Hybrid regime,33.70,Edi Rama,Prime Minister
Algeria,People's Democratic Republic of Algeria,Algerian dinar,Algiers,Northern Africa,Africa,Algerian,28.00,3.00,413588.0,19490.0,2381740,2305480.0,9357.1,,,191913000000,9.266,30.526,,11.55,26.07,99.79,0.03,0.00,0.21,98.36,0.00,1.32,0.11,-177.12,99.98,0.15,161563.00,86543.90,12578.70,-7720.56,1.12,6.32,214.85,1.90,0.04,2.50,317000,2500,5.59,21.52,4.55,2.89,70.77,76,-18797,22040987,22862237,44903225,8.11,11328186,33575039,1.71,3.50,Authoritarian,24.00,Abdelmadjid Tebboune,President
Andorra,Principality of Andorra,Euro,Andorra la Vella,Southern Europe,Europe,Andorran,42.50,1.50,187.2,160.0,470,409.5,30.9,,,3352030000,,,,,,100.00,,,,,,,,,,20.59,448.88,53.60,1.76,,0.00,9.05,3336.92,2.50,,,,,,7.00,3.90,1.27,93.90,,1377,39038,40786,79824,46.43,9730,70094,3.17,0.00,Unknown,38.90,Xavier Espot Zamora,Head of Government
Angola,People's Republic of Angola,Angolan kwanza,Luanda,Middle Africa,Africa,Angolan,-12.50,18.50,569525.0,666074.0,1246700,1251000.0,2991.4,,16.69,106714000000,25.754,65.852,10.09,10.21,61.33,48.22,2.55,0.00,53.17,0.00,0.00,46.83,0.00,-541.00,48.31,61.02,19814.50,32703.20,17757.90,5203.07,1.22,2.91,50.74,0.80,0.52,6.10,117000,,1.13,38.81,8.01,5.30,32.60,62,29089,17998220,17590767,35588987,33.64,11359649,24229338,2.24,3.62,Authoritarian,12.40,João Lourenço,President
Antigua and Barbuda,Antigua and Barbuda,East Caribbean dollar,Saint John's,Caribbean,Americas,Antiguan,17.05,-61.80,90.0,81.2,440,396.3,31.9,,,1757600000,7.531,,,,,100.00,,,,,,,,,0.00,0.72,474.60,204.87,11.76,471.24,3.98,5.61,830.34,2.89,,0.40,0,,,12.12,6.37,1.58,95.66,78,0,48981,44782,93763,11.11,70935,22828,0.00,0.00,Unknown,31.10,Gaston Browne,Prime Minister
Argentina,Argentine Republic,Argentine peso,Buenos Aires,South America,Americas,Argentine,-34.00,-64.00,1083820.0,285730.0,2736690,2735390.0,11432.7,,22.87,632770000000,,28.602,11.48,6.49,25.46,100.00,5.50,2.03,26.24,49.48,4.17,15.42,1.90,13.03,87.72,9.84,154536.00,131036.00,51061.50,3701.73,0.90,9.98,863.71,4.99,0.11,8.40,103000,,0.57,13.90,8.96,1.89,87.15,75,2344,23345532,22889298,46234830,44.75,3538352,42696478,2.76,7.02,Flawed democracy,27.60,Alberto Fernández,President
Armenia,Republic of Armenia,Armenian dram,Yerevan,Western Asia,Asia,Armenian,40.00,45.00,16760.0,3284.7,28470,27342.2,922.3,60.16,25.00,19502800000,8.641,30.569,22.03,12.56,29.07,100.00,25.72,0.00,28.29,35.91,31.81,0.00,0.05,71.34,74.56,8.38,6746.60,2319.92,1173.58,722.16,0.00,12.24,551.54,4.20,,3.30,49000,8400,4.44,12.05,13.01,1.58,78.61,72,-12825,1530390,1250079,2780469,35.51,1012841,1767628,2.70,4.79,Hybrid regime,30.80,Nikol Pashinyan,Prime Minister
Australia,Commonwealth of Australia,Australian dollar,Canberra,Australia and New Zealand,Oceania,Australian,-27.00,133.00,3557750.0,1340050.0,7692020,7650420.0,11946.0,70.18,32.72,1675420000000,6.594,16.602,23.13,3.66,10.76,100.00,2.15,62.87,5.30,20.80,0.00,2.70,8.34,-190.19,89.63,10.89,378997.00,131485.00,49331.80,-17268.70,2.71,10.65,5901.11,3.84,0.02,12.50,59000,,1.98,12.10,6.70,1.70,96.24,83,117929,13079142,12899794,25978935,38.41,3510274,22468661,4.73,9.09,Full democracy,33.30,Anthony Albanese,Prime Minister
Austria,Republic of Austria,Euro,Vienna,Western Europe,Europe,Austrian,47.33,13.33,26467.6,38991.5,82520,80030.9,2973.7,94.32,49.97,471400000000,8.547,11.756,25.78,4.71,7.48,100.00,12.21,8.23,60.00,12.60,0.00,1.39,16.49,63.54,65.66,35.77,59142.40,6863.08,3759.74,-8604.11,0.00,12.17,6491.12,7.27,,14.60,22000,,0.80,9.60,10.30,1.48,92.53,81,20314,4590655,4451873,9042528,40.98,3684288,5358240,5.10,8.29,Full democracy,39.00,Sebastian Kurz,Federal Chancellor
